userId,movieId,rating
1,1,5
1,2,5
1,3,4
1,4,2
1,5,1
1,6,5
1,7,3
1,8,4
1,9,5
1,10,4
1,11,4
1,12,3
1,13,4
1,14,5
1,15,4
1,16,5
1,17,4
1,19,3
1,18,4
1,37,5
2,1,5
2,2,4
2,3,3
2,4,4
2,5,5
2,6,4
2,7,4
2,8,3
2,9,5
2,10,5
2,11,4
2,12,5
2,13,5
2,14,4
2,15,5
2,16,4
2,19,4
2,37,4
3,1,5
3,3,3
3,4,4
3,5,3
3,8,5
3,9,5
3,11,4
3,12,3
3,13,3
3,15,5
4,1,4
4,2,3
4,3,4
4,4,3
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,5
4,11,5
4,12,4
4,13,5
4,14,3
4,15,4
4,16,5
4,19,4
4,37,4
5,1,5
5,2,5
5,4,4
5,5,2
5,7,2
5,9,3
5,10,2
5,13,1
5,14,5
5,15,5
6,1,4.5
6,2,4
6,3,4.5
6,4,2.5
6,5,3.5
6,6,4
6,8,4
6,9,5
6,10,5
6,11,5
6,12,4
6,13,5
6,14,5
6,15,5
6,16,4.5
6,17,3
6,19,5
7,1,4
7,6,5
7,8,5
7,9,5
7,11,5
7,16,5
7,17,4
7,19,5
7,18,5
8,1,4
8,5,4
8,6,4
8,8,3
8,9,4
8,10,3
8,11,2
8,13,4
8,15,4
8,16,5
9,2,4
9,3,5
9,4,4
9,5,5
9,7,4
9,9,5
9,11,5
9,13,5
9,15,4
9,19,5
10,1,5
10,2,4
10,3,5
10,5,5
10,7,3
10,9,4
10,14,4
10,16,5
10,19,5
10,37,5